PlateVoltage,0V,-0.5V,-1.0V,-1.5V,-2.0V,-2.5V,-3.0V,-3.5V,-4.0V,-5.0V
122.287,0.0165764,0.0134085,0.0103489,0.0079385,0.0060302,0.0045989,0.0032637,0.0020101,0.0012318,0.0002059
122.97,0.0165793,0.0134097,0.0103505,0.0079397,0.0060313,0.0045996,0.0032632,0.0020095,0.0012313,0.0002062
123.653,0.0165822,0.0134109,0.0103521,0.0079409,0.0060325,0.0046004,0.0032627,0.0020089,0.0012307,0.0002065
124.336,0.0165852,0.013412,0.0103537,0.0079421,0.0060336,0.0046011,0.0032621,0.0020084,0.0012301,0.0002068
125.019,0.0165881,0.0134132,0.0103553,0.0079432,0.0060348,0.0046019,0.0032616,0.0020078,0.0012296,0.0002071
125.702,0.016591,0.0134144,0.0103569,0.0079444,0.006036,0.0046026,0.003261,0.0020072,0.001229,0.0002074
126.385,0.0165939,0.0134156,0.0103585,0.0079456,0.0060371,0.0046034,0.0032605,0.0020067,0.0012284,0.0002077
127.068,0.0165969,0.0134167,0.0103601,0.0079468,0.0060383,0.0046041,0.0032599,0.0020061,0.0012279,0.000208
127.752,0.0165998,0.0134179,0.0103617,0.0079479,0.0060394,0.0046049,0.0032594,0.0020055,0.0012273,0.0002083
128.435,0.0166027,0.0134191,0.0103633,0.0079491,0.0060406,0.0046056,0.0032588,0.002005,0.0012267,0.0002086
129.118,0.0166057,0.0134203,0.0103649,0.0079503,0.0060418,0.0046064,0.0032583,0.0020044,0.0012262,0.0002089
129.801,0.0166086,0.0134214,0.0103665,0.0079515,0.0060429,0.0046071,0.0032578,0.0020038,0.0012256,0.0002092
130.484,0.0166115,0.0134226,0.0103681,0.0079526,0.0060441,0.0046079,0.0032572,0.0020033,0.0012251,0.0002096
131.167,0.0166145,0.0134238,0.0103697,0.0079538,0.0060452,0.0046086,0.0032567,0.0020027,0.0012245,0.0002099
131.85,0.0166174,0.013425,0.0103713,0.007955,0.0060464,0.0046094,0.0032561,0.0020022,0.0012239,0.0002102
132.533,0.0166203,0.0134261,0.0103729,0.0079562,0.0060476,0.0046101,0.0032556,0.0020016,0.0012234,0.0002105
133.217,0.0166233,0.0134273,0.0103745,0.0079573,0.0060487,0.0046109,0.003255,0.002001,0.0012228,0.0002108
133.9,0.0166262,0.0134285,0.0103761,0.0079585,0.0060499,0.0046117,0.0032545,0.0020005,0.0012222,0.0002111
134.583,0.0166291,0.0134297,0.0103777,0.0079597,0.0060511,0.0046124,0.003254,0.0019999,0.0012217,0.0002114
135.266,0.016632,0.0134308,0.0103793,0.0079609,0.0060522,0.0046132,0.0032534,0.0019993,0.0012211,0.0002117
135.949,0.016635,0.013432,0.0103809,0.007962,0.0060534,0.0046139,0.0032529,0.0019988,0.0012205,0.000212
136.632,0.0166379,0.0134332,0.0103825,0.0079632,0.0060545,0.0046147,0.0032523,0.0019982,0.00122,0.0002123
137.315,0.0166408,0.0134344,0.0103841,0.0079644,0.0060557,0.0046154,0.0032518,0.0019976,0.0012194,0.0002126
137.998,0.0166438,0.0134355,0.0103857,0.0079656,0.0060569,0.0046162,0.0032512,0.0019971,0.0012188,0.0002129
138.682,0.0166467,0.0134367,0.0103873,0.0079667,0.006058,0.0046169,0.0032507,0.0019965,0.0012183,0.0002133
139.365,0.0166496,0.0134379,0.0103889,0.0079683,0.0060592,0.0046177,0.0032501,0.0019959,0.0012177,0.0002136
140.048,0.0166526,0.0134391,0.0103905,0.0079707,0.0060603,0.0046184,0.0032502,0.0019954,0.0012172,0.0002139
140.731,0.0166555,0.0134402,0.0103921,0.0079731,0.0060615,0.0046192,0.0032505,0.0019948,0.0012166,0.0002142
141.414,0.0166584,0.0134414,0.0103936,0.0079755,0.0060627,0.0046199,0.0032508,0.0019943,0.001216,0.0002145
142.097,0.0166614,0.0134426,0.0103952,0.0079779,0.0060639,0.0046207,0.0032511,0.0019937,0.0012155,0.0002148
142.78,0.0166643,0.0134438,0.0103968,0.0079803,0.0060651,0.0046214,0.0032514,0.0019931,0.0012149,0.0002151
143.463,0.0166672,0.0134449,0.0103984,0.0079827,0.0060663,0.0046222,0.0032518,0.0019926,0.0012143,0.0002154
144.147,0.0166701,0.0134461,0.0104,0.0079851,0.0060675,0.0046229,0.0032521,0.001992,0.0012138,0.0002157
144.83,0.0166731,0.0134473,0.0104016,0.0079875,0.0060687,0.0046237,0.0032524,0.0019914,0.0012132,0.000216
145.513,0.016676,0.0134485,0.0104032,0.0079899,0.0060698,0.0046244,0.0032527,0.0019909,0.0012126,0.0002163
