PlateVoltage,0V,-2V,-4V,-6V,-8V,-10V,-12V,-14V,-16V
369.51,0.15424,0.12411,0.09692,0.07358,0.05413,0.03652,0.02367,0.01335,0.0071
370.88,0.15436,0.12422,0.09698,0.07362,0.05416,0.03654,0.02372,0.01334,0.0071
372.25,0.15447,0.12434,0.09704,0.07367,0.05418,0.03656,0.02376,0.01334,0.0071
373.63,0.15456,0.12447,0.0971,0.07371,0.0542,0.03658,0.02381,0.01333,0.0071
375,0.15465,0.12461,0.09716,0.07376,0.05423,0.0366,0.02386,0.01333,0.00711
376.37,0.15471,0.12475,0.09722,0.07381,0.05426,0.03662,0.0239,0.01333,0.00711
377.75,0.15477,0.12489,0.09728,0.07386,0.05429,0.03663,0.02395,0.01333,0.00712
379.12,0.1548,0.12503,0.09734,0.07391,0.05432,0.03664,0.02399,0.01334,0.00713
380.49,0.15482,0.12517,0.0974,0.07396,0.05435,0.03665,0.02403,0.01334,0.00714
381.87,0.15483,0.1253,0.09746,0.07401,0.05438,0.03666,0.02406,0.01335,0.00715
383.24,0.15483,0.12543,0.09752,0.07406,0.05442,0.03667,0.02409,0.01337,0.00716
